unid_af;unid;denominacao_unidade
Veterinária;VET;ESCOLA VETERINARIA
Odontologia;FAO;FAC DE ODONTOLOGIA
EBA;EBA;ESCOLA BELAS ARTES
DIARQ;DIA;DIR ARQUIVOS INSTITUC
Medicina;MED;FAC DE MEDICINA
PRORH;PRH;PRO-REIT RECURSOS HUMANOS
PRA;PRA;PRO-REIT ADMINISTRACAO
DLO;DLO;DEPTO LOG SUPR SERV OPER
COPI;COP;DIR COOP INSTITUCIONAL
DAP;DAP;DEPTO ADMINISTR PESSOAL
PRAE;PAE;PRO-REIT ASS ESTUDANTIS
ICEX;ICX;INST CIENCIAS EXATAS
Auditoria;AUD;AUDITORIA GERAL
PROGRAD;PGR;PRO-REIT GRADUACAO
Direito;DIR;FACULDADE DE DIREITO
PROEX;PEX;PRO-REIT EXTENSAO
DCF;DCF;DEPTO CONTABILIDADE
DAST;DAT;DEPTO ATEN SAUDE TRABALH
DTI;DTI;DIR TECNOL INFORMACAO
IEAT;IET;INST EST AV TRANSDISCIPL
PROPLAN;PPL;PRO-REIT PLANEJAMENTO
ICA;ICA;INST CIENCIAS AGRARIAS
Farmácia;FAR;FAC DE FARMACIA
ICB;ICB;INST CIENCIAS BIOLOGICAS
PRPQ;PPQ;PRO-REIT PESQUISA
DPP;DPP;DEPTO PLANEJAM E PROJETOS
CEU;CEU;CENT ESPORT UNIVERSITARIO
CAED;EAD;EDUCACAO A DISTANCIA
Engenharia;ENG;ESCOLA DE ENGENHARIA
CEDECOM;CDC;COORD COMUNICACAO SOCIAL
BU;BIU;BIBLIOTECA UNIVERSITARIA
IGC;IGC;INST DE GEO-CIENCIAS
Arquitetura;ARQ;ESCOLA ARQUITETURA
FACE;FCE;FAC CIENCIAS ECONOMICAS
FAO;FAO;FAC DE ODONTOLOGIA
FAFICH;FAF;FAC FILOS CIENC HUMANAS
PRPG;PPG;PRO-REIT POS-GRADUACAO
HCL;HCL;HOSPITAL DAS CLINICAS
NAI;NAI;NUCLEO DE ACES E INCLUSAO
FALE;FAL;FAC DE LETRAS
AUD;AUD;AUDITORIA GERAL
DIR;DIR;FACULDADE DE DIREITO
DLO;DLO;DEPTO LOG SUPR SERV OPER
VETERINÁRIA;VET;ESCOLA VETERINARIA
DRH;DRH;DEPTO DESENV REC HUMANOS
DAP;DAP;DEPTO ADMINISTR PESSOAL
DEMAI;DMI;DEPTO MANUT OPER INFRAEST
PRA;PRA;PRO-REIT ADMINISTRACAO
PROGRAD;PGR;PRO-REIT GRADUACAO
IGC;IGC;INST DE GEO-CIENCIAS
PRORH;PRH;PRO-REIT RECURSOS HUMANOS
DPP;DPP;DEPTO PLANEJAM E PROJETOS
ODONTO;FAO;FAC DE ODONTOLOGIA
COLTEC;COL;COLEGIO TECNICO
ICEX;ICX;INST CIENCIAS EXATAS
MED;MED;FAC DE MEDICINA
FAFICH;FAF;FAC FILOS CIENC HUMANAS
DAST;DAT;DEPTO ATEN SAUDE TRABALH
PRAE;PAE;PRO-REIT ASS ESTUDANTIS
CAED;EAD;EDUCACAO A DISTANCIA
ICB;ICB;INST CIENCIAS BIOLOGICAS
DCF;DCF;DEPTO CONTABILIDADE
CEDECOM;CDC;COORD COMUNICACAO SOCIAL
FAR;FAR;FAC DE FARMACIA
DIR;DIR;FACULDADE DE DIREITO
FALE;FAL;FAC DE LETRAS
BIOTÉRIO;PPQ;PRO-REIT PESQUISA
ICA;ICA;INST CIENCIAS AGRARIAS
BU;BIU;BIBLIOTECA UNIVERSITARIA
HC;HCL;HOSPITAL DAS CLINICAS
DIARQ;DIA;DIR ARQUIVOS INSTITUC
EEFFTO;EEF;ESCOLA EDUCACAO FISICA
ENGENHARIA;ENG;ESCOLA DE ENGENHARIA
PROEX;PEX;PRO-REIT EXTENSAO
EBA;EBA;ESCOLA BELAS ARTES
AUD;AUD;AUDITORIA GERAL
DSU;DLO;DEPTO LOG SUPR SERV OPER
ECI;ECI;ESCOLA CIENCIA INFORMACAO
CAC;CAC;COORD ASSUNTOS COMUNITARI
HCL;HCL;HOSPITAL DAS CLINICAS
VET;VET;ESCOLA VETERINARIA
ENG;ENG;ESCOLA DE ENGENHARIA
FAE;FAE;FAC DE EDUCACAO
PRPQ;PPQ;PRO-REIT PESQUISA
ARQ;ARQ;ESCOLA ARQUITETURA
DRCA;DRC;DEPTO REG CONT ACADEMICO
FAO;FAO;FAC DE ODONTOLOGIA
CEU;CEU;CENT ESPORT UNIVERSITARIO
HCL;HCL;HOSPITAL DAS CLINICAS
DEMAI;DMI;DEPTO MANUT OPER INFRAEST
MED;MED;FAC DE MEDICINA
CAC;CAC;COORD ASSUNTOS COMUNITARI
ARQ;ARQ;ESCOLA ARQUITETURA
DRCA;DRC;DEPTO REG CONT ACADEMICO
ICEX;ICX;INST CIENCIAS EXATAS
FAO;FAO;FAC DE ODONTOLOGIA
CEU;CEU;CENT ESPORT UNIVERSITARIO
CEDECOM;CDC;COORD COMUNICACAO SOCIAL
DAST;DAT;DEPTO ATEN SAUDE TRABALH
DAP;DAP;DEPTO ADMINISTR PESSOAL
PRORH;PRH;PRO-REIT RECURSOS HUMANOS
HC;HCL;HOSPITAL DAS CLINICAS
DLO;DLO;DEPTO LOG SUPR SERV OPER
ODONTO;FAO;FAC DE ODONTOLOGIA
VET;VET;ESCOLA VETERINARIA
AUD;AUD;AUDITORIA GERAL
IGC;IGC;INST DE GEO-CIENCIAS
PRAE;PAE;PRO-REIT ASS ESTUDANTIS
DRH;DRH;DEPTO DESENV REC HUMANOS
ENG;ENG;ESCOLA DE ENGENHARIA
PROEX;PEX;PRO-REIT EXTENSAO
FAFICH;FAF;FAC FILOS CIENC HUMANAS
MÚSICA;MUS;ESCOLA DE MUSICA
CP;CEP;CENTRO PEDAGOGICO
FAE;FAE;FAC DE EDUCACAO
FACE;FCE;FAC CIENCIAS ECONOMICAS
DRI;DRI;DIR REL INTERNACIONAIS
PROGRAD;PGR;PRO-REIT GRADUACAO
CAED;EAD;EDUCACAO A DISTANCIA
COLTEC;COL;COLEGIO TECNICO
PROPLAN;PPL;PRO-REIT PLANEJAMENTO
ECI;ECI;ESCOLA CIENCIA INFORMACAO
DPOC;DPO;DEPTO PLAN  ORCAMENTO
EEFFTO;EEF;ESCOLA EDUCACAO FISICA
GIZ;PGR;PRO-REIT GRADUACAO
DPP;DPP;DEPTO PLANEJAM E PROJETOS
FAR;FAR;FAC DE FARMACIA
